course,unit,warmup_no,page,section,seq,type,content,hint,figure
cs1,1,1,w1,meta,0,topic,The CMU coordinate plane,,
cs1,1,1,w1,meta,1,ican,"I can find a point's (x, y) on the CMU canvas.",,
cs1,1,1,w1,meta,2,ican,I can explain why y increases going down.,,
cs1,1,1,w1,vocab,3,vocab,coordinate plane,n=2,
cs1,1,1,w1,vocab,4,vocab,origin,n=2,
cs1,1,1,w1,vocab,5,vocab,x-coordinate,n=2,
cs1,1,1,w1,vocab,6,vocab,y-coordinate,n=2,
cs1,1,1,w1,part1,7,p,"The origin (0, 0) is the TOP-LEFT corner of the CMU canvas. On the grid, mark the point (200, 100) with a dot and label it.",n=0,
cs1,1,1,w1,part1,8,figure,,w=230,grid
cs1,1,1,w1,part1,9,p,"Write the (x, y) coordinates of the dot drawn below.",n=1,
cs1,1,1,w1,part1,10,figure,,w=230,"grid; dot 300,250"
cs1,1,1,w1,part1,11,p,"In CMU graphics y counts DOWN. Which point is LOWER on the screen: (100, 50) or (100, 350)? Explain in one sentence.",n=2,
cs1,1,1,w1,part2,12,p,"Name the corner each point lands in: (0, 400), (400, 0), (400, 400).",n=3,
cs1,1,2,w2,meta,0,topic,Circle and Rect,,
cs1,1,2,w2,meta,1,ican,"I can write Circle(cx, cy, r) for a circle I see.",,
cs1,1,2,w2,meta,2,ican,"I can write Rect(left, top, w, h) for a rectangle.",,
cs1,1,2,w2,vocab,3,vocab,Circle,n=2,
cs1,1,2,w2,vocab,4,vocab,Rect,n=2,
cs1,1,2,w2,vocab,5,vocab,radius,n=2,
cs1,1,2,w2,vocab,6,vocab,argument,n=2,
cs1,1,2,w2,part1,7,label,Two circles are drawn below.,,
cs1,1,2,w2,part1,8,figure,,w=235,"circle 300,120,60,210; circle 250,180,50,150"
cs1,1,2,w2,part1,9,code,"Circle(centerX, centerY, radius)",,
cs1,1,2,w2,part1,10,p,Write the CMU code for the SMALLER circle using the pattern above.,n=2,
cs1,1,2,w2,part1,11,p,"A Rect starts at its TOP-LEFT corner: Rect(left, top, width, height). Write the code for a box 150 wide and 80 tall whose top-left is (60, 260).",n=2,
cs1,1,2,w2,part2,12,p,Change the big circle's radius to 90. Does it grow toward the center or toward the edge? Explain.,n=3,
cs1,1,3,w3,meta,0,topic,"Ovals, lines, and stars",,
cs1,1,3,w3,meta,1,ican,"I can name the shape functions Oval, Line, and Star.",,
cs1,1,3,w3,meta,2,ican,I can read the arguments a Star needs.,,
cs1,1,3,w3,vocab,3,vocab,Oval,n=2,
cs1,1,3,w3,vocab,4,vocab,Line,n=2,
cs1,1,3,w3,vocab,5,vocab,Star,n=2,
cs1,1,3,w3,vocab,6,vocab,points (of a star),n=2,
cs1,1,3,w3,part1,7,figure,,w=210,"star 200,200,80,5"
cs1,1,3,w3,part1,8,p,"This star was made with Star(200, 200, 80, 5). What does the last number, 5, control?",n=2,
cs1,1,3,w3,part1,9,p,"Write a Line from the top-left corner (0, 0) to the point (250, 300).",n=2,
cs1,1,3,w3,part2,10,p,"An Oval uses a width and a height instead of one radius: Oval(cx, cy, width, height). Write an Oval centered at (200, 200) that is 160 wide and 90 tall.",n=3,
cs1,1,4,w4,meta,0,topic,Colors: fill and border,,
cs1,1,4,w4,meta,1,ican,I can set a shape's fill color.,,
cs1,1,4,w4,meta,2,ican,I can add a border and set its width.,,
cs1,1,4,w4,vocab,3,vocab,fill,n=2,
cs1,1,4,w4,vocab,4,vocab,border,n=2,
cs1,1,4,w4,vocab,5,vocab,borderWidth,n=2,
cs1,1,4,w4,vocab,6,vocab,color name,n=2,
cs1,1,4,w4,part1,7,figure,,w=210,"rect 120,120,160,120,silver"
cs1,1,4,w4,part1,8,p,The gray box below is filled gray. Write the Rect code that fills it gray AND adds a black border 4 pixels wide.,n=3,
cs1,1,4,w4,part1,9,code,"Rect(120, 120, 160, 120, fill='gray', border='black', borderWidth=4)",,
cs1,1,4,w4,part1,10,p,Name two different ways you could make this box look lighter.,n=2,
cs1,1,4,w4,part2,11,p,"Colors can be named ('crimson') or built with rgb(r, g, b). Write an rgb() color you think would look orange.",n=2,
cs1,1,5,w5,meta,0,topic,Opacity and layering,,
cs1,1,5,w5,meta,1,ican,I can predict which shape is drawn on top.,,
cs1,1,5,w5,meta,2,ican,I can use opacity to see through a shape.,,
cs1,1,5,w5,vocab,3,vocab,layering (draw order),n=2,
cs1,1,5,w5,vocab,4,vocab,on top,n=2,
cs1,1,5,w5,vocab,5,vocab,opacity,n=2,
cs1,1,5,w5,vocab,6,vocab,overlap,n=2,
cs1,1,5,w5,part1,7,label,Two boxes overlap. The one listed LAST in the code is drawn on top.,,
